Plattform,Datum,Interpret,Song,Platz
Charts,2023,Udo Lindenberg & Apache 207,Komet,1
Charts,2023,Miley Cyrus,Flowers,2
Charts,2023,Ayliva feat. Mero,Sie Weiss,3
Charts,2023,Nina Chuba,Whiteberry Lillet,4
Charts,2023,"David Guetta, Bebe Rexha",I'm Good (Blue),5
Charts,2023,"Peter Fox, Inéz",Zukunft Pink (feat. Inéz),6
Charts,2023,Miksu / MacLoud / Makko,Nachts wach ,7
Charts,2023,Sira [DE],9 bis 9,8
Charts,2023,Yung Yury & Damn Yury,TABU.,9
Charts,2023,Tom Odell,Another Love,10
Charts,2023,Eminem,Mockingbird,11
Charts,2023,"Ski Aggu, Joost, Otto Waalkes",Friesenjung,12
Charts,2023,"Luca-Dante Spadafora, Niklas Dee, Octavian",Mädchen auf dem Pferd,13
Charts,2023,Apache 207,Breaking Your Heart,14
Charts,2023,Nina Chuba,Mangos mit Chili,15
Charts,2023,David Kushner,Daylight,16
Charts,2023,Tiësto,Lay Low,17
Charts,2023,Taylor Swift,Anti-Hero,18
Charts,2023,Rema,Calm Down,19
Charts,2023,Cassö / Raye / D-Block Europe,Prada,20
Charts,2023,Creeds,Push Up,21
Charts,2023,Luciano x Aitch x Bia,Bamba,22
Charts,2023,Metro Boomin with The Weeknd & 21 Savage,Creepin',23
Charts,2023,Raye feat. 070 Shake,Escapism,24
Charts,2023,Harry Styles,As It Was,25
Charts,2023,Apache 207,Roller,26
Charts,2023,Sam Smith & Kim Petras,Unholy,27
Charts,2023,David Guetta / Anne-Marie / Coi Leray,Baby Don't Hurt Me,28
Charts,2023,Bennett,Vois sur ton chemin,29
Charts,2023,RAF Camora / Luciano,All Night,30
Charts,2023,"Ski Aggu, Endzone & Ericson",Party Sahne,31
Charts,2023,Purple Disco Machine x Kungs feat. Julian Perretta,Substitution,32
Charts,2023,Rosa Linn,Snap,33
Charts,2023,01099 - Paul & Ski Aggu,Anders,34
Charts,2023,Ayliva,Weißes Haus,35
Charts,2023,Nina Chuba & Chapo102,Ich hass dich,36
Charts,2023,Doja Cat,Paint The Town Red,37
Charts,2023,P!ink,Trustfall,38
Charts,2023,Tiësto feat. Tate McRae,10:35,39
Charts,2023,Matt Sassari,Give It To Me,40
Charts,2023,Apache 207,Neunzig,41
Charts,2023,Ayliva,In deinen Armen,42
Charts,2023,Kenya Grace,Strangers,43
Charts,2023,Ayliva,Hässlich,44
Charts,2023,Pashanim,Ms. Jackson,45
Charts,2023,Meduza x James Carter feat. Elley Duhé + Fast Boy,Bad Memories,46
Charts,2023,Finch x Tream,Liebe auf der Rückbank,47
Charts,2023,Niklas Dee & Old Jim feat. Enny-Mae,Not Fair,48
Charts,2023,Felix Jaehn & Ray Dalton,Call It Love,49
Charts,2023,Mariah Carey,All I Want For Christmas Is You,50
