from,to,platzierung
40.21,21.21,1
40.21,22.21,2
40.21,23.21,3
40.21,24.21,4
40.21,25.21,5
40.21,26.21,6
40.21,27.21,7
40.21,28.21,8
40.21,29.21,9
40.21,30.21,10
50.21,11.21,1
50.21,12.21,2
50.21,13.21,3
50.21,14.21,4
50.21,15.21,5
50.21,16.21,6
50.21,17.21,7
50.21,18.21,8
50.21,19.21,9
50.21,20.21,10
60.21,21.21,0
60.21,22.21,0
60.21,23.21,0
60.21,24.21,0
60.21,25.21,0
60.21,26.21,0
60.21,27.21,0
60.21,28.21,0
60.21,29.21,0
60.21,30.21,0
60.21,11.21,0
60.21,12.21,0
60.21,13.21,0
60.21,14.21,0
60.21,15.21,0
60.21,16.21,0
60.21,17.21,0
60.21,18.21,0
60.21,19.21,0
60.21,20.21,0
60.21,1.21,1
60.21,2.21,2
60.21,3.21,3
60.21,4.21,4
60.21,5.21,5
60.21,6.21,6
60.21,7.21,7
60.21,8.21,8
60.21,9.21,9
60.21,10.21,10
