Plattform ,Künstler ,Song,Platzierung ,Streams,Tiktok Videos
Charts,DJ Robin & Schürze,Layla,1,,
Charts,Glass Animal,Heat Waves,2,,
Charts,Luciano,Beautiful Girl,3,,
Charts,Gayle,abcdefu,4,,
Charts,Ed Sheeran ,shivers,5,,
Charts,Harry Styles,As it was,6,,
Charts,Lost Frequencies / Calum Scott,Where are you now,7,,
Charts,Miksu / McLoud & T-Low,Sehnsucht,8,,
Charts,Elton John & Dua Lipa,Coldheart,9,,
Charts,Nina Chuba ,Wildberry Lillet,10,,
Spotify,Luciano,Beautiful Girl,1,192.996.920,
Spotify,Miksu / McLoud & T-Low,Sehnsucht,2,165.081.551,
Spotify,DJ Robin & Schürze,Layla,3,154.098.201,
Spotify,Glass Animals,Heat Waves,4,3.024.911.627,
Spotify,Harry Styles,As it was,5,3.357.345.372,
Spotify,Ion Miles,Powerade,6,145.744.576,
Spotify,t-low,We Made it,7,99.230.682,
Spotify,Lost Frequiencies,Where are you now,8,1.104.651.989,
Spotify,Tom Odell,Another Love,9,2.478.869.084,
Spotify,Liane,PARADISE (MIT DIR),10,113.549.205,
Tiktok,Yung Lean,Giseng Strip 2002,1,,20.6K
Tiktok,Dardan & Nimo,B.I.B.O.,2,,"191,3K"
Tiktok,Labrinth,Forever,3,,"3,4M"
Tiktok,Jaymes Young,Infinity,4,,"4,1M"
Tiktok,Domiziana,"Ohne Benzin (1,1x Speed Version)",5,,"65,7K"
Tiktok,Nina Chuba,Wildberry Lillet,6,,"109,5K"
Tiktok,YONII,Randale,7,,"84,0K"
Tiktok,Nutcase22,Captain (whistle),8,,"1,2M"
Tiktok,Glass Animals ,Heat Waves,9,,"1,2M"
Tiktok,Tom Odell,Another Love,10,,"1,1M"
