Plattform,Jahr ,Künstler,Song,Platzierung
TikTok,2023,"Heuss L’enfoiré, Jul",Moulaga (Sped up),1
TikTok,2023,PinkPantheress & Ice Spice,Boy’s a Liar Pt. 2,2
TikTok,2023,"Dj Belite, DNDM, Shahlo Ahmedova",All eyez on me (Gangsta Remix),3
TikTok,2023,Liamsi,MON LOVE OHO,4
TikTok,2023,Jain,Makeba,5
TikTok,2023,Ed Sheeran,Eyes Closed,6
TikTok,2023,Lizzy McAlpine,Ceilings (Sped up),7
TikTok,2023,George Ezra,Green Green Grass (Sped up),8
TikTok,2023,AK 33 & SIL3A,Iba3ash,9
TikTok,2023,AYLIVA,Weißes Haus,10
TikTok,06/2024,$OHO BANI & Herbert Grönemeyer & Ericson,"ZEIT, DASS SICH WAS DREHT",1
TikTok,06/2024,Peter Schilling,Major Tom (Völlig losgelöst) [Single Version],2
TikTok,06/2024,Olexesh & Ataypapi & ilo 7araga,Pistoleta,3
TikTok,06/2024,GReeeN,Panama,4
TikTok,06/2024,AYLIVA,Beifahrer,5
TikTok,06/2024,Lune,Bisou,6
TikTok,06/2024,Peter Schilling,Major Tom (..völlig losgelöst,7
TikTok,06/2024,Nisa,Auf geht's Deutschland,8
TikTok,06/2024,AYLIVA & Apache 207,Wunder,9
TikTok,06/2024,Calvin Kleinen & Kreisligalegende & Isi Glück,Finale,10
Spotify,2023,"Udo Lindenberg,Apache 207",Komet,1
Spotify,2023,Miley Cyrus,Flowers,2
Spotify,2023,"AYLIVA, MERO",Sie weiß (feat. Mero),3
Spotify,2023,"Yung Yury, Damn Yury",TABU.,4
Spotify,2023,Eminem,Mockingbird,5
Spotify,2023,"Luca-Dante Spadafora, Niklas Dee, Octavian,
Peter Plate, Ulf Leo Sommer",Mädchen auf dem Pferd,6
Spotify,2023,"Ski Aggu, Joost, Otto Waalkes",Friesenjung,7
Spotify,2023,David Kushner,Daylight,8
Spotify,2023,"Peter Fox, Inéz",Zukunft Pink (feat. Inéz),9
Spotify,2023,"David Guetta, Bebe Rexha",I'm Good (Blue),10
Spotify,06/2024,AYLIVA,Beifahrer,1
Spotify,06/2024,Sabrina Carpender,"Please,Please,Please",2
Spotify,06/2024,Ariana Grande ,the boy is mine,3
Spotify,06/2024,Billie Eilish ,CHIHIRO,4
Spotify,06/2024,MIRA,"Ring, Ring",5
Spotify,06/2024,Billie Eilish ,LUNCH,6
Spotify,06/2024,"Taylor Swift, Post Malone",Fortnight ,7
Spotify,06/2024,Lewinray,Hol mich raus,8
Spotify,06/2024,Nina Chuba,NINA,9
Spotify,06/2024,MIRA,Ladida,10
Charts,2023,Udo Lindenberg & Apache 207,Komet,1
Charts,2023,Miley Cyrus,Flowers,2
Charts,2023,Ayliva feat. Mero,Sie Weiss,3
Charts,2023,Nina Chuba,Whiteberry Lillet,4
Charts,2023,"David Guetta, Bebe Rexha",I'm Good (Blue),5
Charts,2023,"Peter Fox, Inéz",Zukunft Pink (feat. Inéz),6
Charts,2023,Miksu / MacLoud / Makko,Nachts wach ,7
Charts,2023,Sira [DE],9 bis 9,8
Charts,2023,Yung Yury & Damn Yury,TABU.,9
Charts,2023,Tom Odell,Another Love,10
Charts,06/2024,$OHO BANI & Herbert Grönemeyer & Ericson,"ZEIT, DASS SICH WAS DREHT",1
Charts,06/2024,Aylivia & Apache 207,Wunder,2
Charts,06/2024,Pashanim,Mittelmeer,3
Charts,06/2024,6PM Records / Ski Aggu / Haaland936 / Sira,Junge baller,4
Charts,06/2024,Artemas,I like the way you kiss me ,5
Charts,06/2024,Eminem,Houdini,6
Charts,06/2024,Aitch / Luciano,Baddies ,7
Charts,06/2024,SDP / Sido / Esther Graf,Mama hat gesagt,8
Charts,06/2024,Cyril,Stumblin' In,9
Charts,06/2024,Sabrina Carpender,Espresso ,10
